,Stop ID,Stop Abbr,Stop Name,Lon,Lat,Bus Stop Type,Route(S),Jurisdiction
0,100004,100004,JOSEPH E LOWERY BLVD @ BECKWITH ST SW,-84.4176,33.752569,Sign Strapped to Pole,1;68,Atlanta
1,100006,100006,JOSEPH E LOWERY BLVD @ PARSONS ST SW,-84.417762,33.751251,Sign Strapped to Pole,1;68,Atlanta
2,100008,100008,JOSEPH E LOWERY BLVD @ ASHBY GRV SW,-84.417604,33.750004,Sign on Post,1;68,Atlanta
3,100010,100010,JOSEPH E LOWERY BLVD @ FAIR ST SW,-84.417594,33.749212,Sign Strapped to Pole,1;68,Atlanta
4,100012,100012,JOSEPH E LOWERY BLVD SW @ WESTVIEW DR SW,-84.417615,33.746833,Sign on Post,1;68,Atlanta
5,100014,100014,JOSEPH E LOWERY BLVD @ SELLS AVE SW,-84.417784,33.745587,Shelter,1;68,Atlanta
6,100016,100016,WEST END AVE SW @ ASHBY ST SW,-84.417246,33.744403,Sign on Post,68,Atlanta
7,100017,100017,WEST END AVE SW @ WELLBORN ST SW,-84.415499,33.744304,Sign on Post,68,Atlanta
8,100022,100022,W END AVE SW @ ASHBY ST SW,-84.417367,33.74457,Sign on Post,68,Atlanta
9,100024,100024,JOSEPH E LOWERY BLVD @ ATLANTA STUDENT MOVEMENT BLVD,-84.417337,33.749024,Sign on Post,1;68,Atlanta
10,100026,100026,JOSEPH E LOWERY BLVD @ PARSONS ST SW,-84.417277,33.75063,Sign on Post,1;68,Atlanta
11,100028,100028,JOSEPH E LOWERY BLVD @ BECKWITH ST SW,-84.417322,33.752027,Sign on Post,1;68,Atlanta
12,100030,100030,ATLANTA STUDENT MOVEMENT BLVD @ EUHRLEE ST SW,-84.416015,33.749264,Sign on Post,813,Atlanta
13,100032,100032,ATLANTA STUDENT MOVEMENT BLVD @ OGDEN ST SW,-84.416809,33.749236,Sign on Post,813,Atlanta
14,100035,100035,FAIR ST SW @ JOSEPH E LOWERY BLVD,-84.418059,33.748985,Sign on Post,813,Atlanta
15,100036,100036,FAIR ST SW @ ABBOTT ST SW,-84.419167,33.748959,Sign on Post,813,Atlanta
16,100038,100038,FAIR ST SW @ AGNES JONES PL SW,-84.420273,33.748981,Sign on Post,813,Atlanta
17,100040,100040,FAIR ST SW @ JOSE ST SW,-84.421694,33.74892,Sign on Post,813,Atlanta
18,100042,100042,FAIR ST SW @ LAWTON ST SW,-84.423135,33.749088,Sign on Post,813,Atlanta
19,100043,100043,FAIR ST SW @ SAINT JOSE ST SW,-84.421726,33.749272,Sign on Post,813,Atlanta
20,100044,100044,ATLANTA STUDENT MOVEMENT BLVD @ EUHARLEE ST SW,-84.416048,33.749192,Sign on Post,813,Atlanta
21,100045,100045,FAIR ST SW @ AGNES JONES PL SW,-84.420461,33.749162,Sign on Post,813,Atlanta
22,100046,100046,JOSEPH E LOWERY BLVD @ MITCHELL ST SW,-84.417466,33.753318,Sign on Post,1;68,Atlanta
23,100048,100048,JOSEPH E LOWERY BLVD @ MARTIN L KING JR DR,-84.417346,33.754524,Sign on Post,1;68,Atlanta
24,100050,100050,MARTIN LUTHER KING J @ CHICAMAUGA AVE,-84.432088,33.75369,Sign on Post,3,Atlanta
25,100052,100052,MARTIN LUTHER KING J DR SW @ CERRO ST,-84.429794,33.753549,Sign on Post,3,Atlanta
26,100054,100054,MARTIN LUTHER KING J DR SW @ BURBANK,-84.428174,33.753443,Sign on Post,3,Atlanta
27,100058,100058,HOLDERNESS ST SW @ FAIR ST SW,-84.426351,33.748933,Sign on Post,813,Atlanta
28,100060,100060,FAIR ST SW @ HOLDERNESS ST SW,-84.426353,33.749076,Sign on Post,813,Atlanta
