link_id,points_count,stops_computecount,sig_mean_mean,Score,name,geometry,Score_Bus,Score_Rail
cluster10_primary_1_2,7,96,1.70074568288854,4.572997032795104,Campbellton Road,"LINESTRING (-84.51693313575764 33.69261969771194, -84.5167801 33.692532499999984, -84.51639887420482 33.69231528535296)",4.572997032795104,0.0
cluster10_primary_1_3,7,92,1.7119309262166404,4.535264017310755,Campbellton Road,"LINESTRING (-84.51507902804661 33.69156407676967, -84.5155785 33.691848099999994, -84.51561360085726 33.69186807056909)",4.535264017310755,0.0
cluster10_primary_1_5,7,98,1.6785714285714286,4.545655694707281,Campbellton Road,"LINESTRING (-84.51372669106436 33.69092809098645, -84.51397600000001 33.691006, -84.514227 33.69110400000001, -84.5143056 33.69114340000001, -84.51431578167171 33.691148498075734)",4.545655694707281,0.0
cluster10_primary_1_6,7,105,1.75,4.852030263919617,Campbellton Road,"LINESTRING (-84.5127691931739 33.690764865973044, -84.5127092 33.690759, -84.5124603 33.690734600000006, -84.51212679159558 33.69070204087764)",4.852030263919617,0.0
cluster10_tertiary_2_1,7,6,0.6428571428571429,0.39795377683257227,Daniel Road Southwest,"LINESTRING (-84.51268408852961 33.68656829436298, -84.512953 33.68663500000001, -84.51329389938094 33.68674618074819)",0.39795377683257227,0.0
cluster10_tertiary_2_2,8,56,2.0,4.1588830833596715,Stone Road Southwest,"LINESTRING (-84.51182982205613 33.68633017956543, -84.5117651 33.6862753, -84.51142918869783 33.68590616399074)",4.1588830833596715,0.0
cluster11_secondary_1_1,7,95,1.9128014842300556,5.1245150404824775,Bobby Brown Parkway,"LINESTRING (-84.42960681777802 33.66007503251015, -84.4295970238589 33.66061552392645)",5.1245150404824775,0.0
cluster11_secondary_2_2,8,112,2.310897435897436,6.258026266008634,Norman Berry Drive,"LINESTRING (-84.42830572803516 33.66512766212189, -84.428296 33.664978, -84.428336 33.664726999999985, -84.42838657694612 33.66459373381931)",6.258026266008634,0.0
cluster11_secondary_4_3,8,88,1.75,4.348586637129,Airport Loop Road,"LINESTRING (-84.42649142568308 33.65746624233387, -84.426317 33.657461000000005, -84.425958 33.65747999999999, -84.42584668540044 33.65749340657989)",4.348586637129,0.0
cluster11_secondary_4_5,5,80,1.765625,5.002392310599257,Virginia Avenue,"LINESTRING (-84.42138660000002 33.6588763, -84.42181625678914 33.65888503646688)",5.002392310599257,0.0
cluster11_tertiary_2_5,7,123,2.3214285714285716,6.782342128250625,Willingham Drive,"LINESTRING (-84.42883500000002 33.665654999999994, -84.428521 33.66554800000001, -84.42848 33.665526, -84.428435 33.665502000000004, -84.428346 33.665460999999986)",6.782342128250625,0.0
cluster12_tertiary_1_3,7,14,2.125,2.3345511134197334,Collier Road Northwest,"LINESTRING (-84.39824477711338 33.80853588732144, -84.3984227 33.8085886, -84.398694 33.808669, -84.39885319522313 33.8087200159443)",2.3345511134197334,0.0
cluster12_tertiary_1_4,7,42,2.125,4.13505906674254,Collier Road Northwest,"LINESTRING (-84.39740885055312 33.80828656378565, -84.3971211 33.808200299999996, -84.39679972502411 33.80810397003388)",4.13505906674254,0.0
cluster13_secondary_1_1,7,91,1.8653846153846154,4.922856941782309,Cook Road,"LINESTRING (-84.30747975663134 33.715589785019816, -84.307807 33.715603599999994, -84.3080134 33.7156239, -84.30812264676382 33.71564161703207)",4.922856941782309,0.0
